CUL	LATITUDE	LONGITUDE	NAME
18537	37.9383258	23.6398482	ΠΕΙΡΑΙΑΣ ΑΓΙΑ ΝΙΚΟΛΑΟΣ
18538	37.9349275	23.6320226	ΠΕΙΡΑΙΑΣ ΧΑΤΖΗΚΥΡΙΑΚ
18539	37.9307333	23.6354757	ΠΕΙΡΑΙΑΣ ΚΑΛΛΙΠΟΛΙΣ
18540	37.9522979	23.6518792	ΠΕΙΡΑΙΑΣ
18541	37.9528283	23.6661308	ΠΕΙΡΑΙΑΣ ΑΠΟΛΛΩΝΟΣ
18542	37.9620112	23.65356	ΠΕΙΡΑΙΕΥΣ ΚΟΚΚΙΝΙΑ
18543	37.9563672	23.6476099	ΠΕΙΡΑΙΑΣ ΜΑΝΙΑΤΙΚΑ
18544	37.9578297	23.6372814	ΝΙΚΑΙΑ ΠΕΙΡΑΙΑΣ
18545	37.9553709	23.6352262	ΠΕΙΡΑΙΑ ΤΑΜΠΟΥΡΙΑ
18546	36.7128404	24.0024888	ΠΕΙΡΑΙΑΣ ΤΑΜΠΟΥΡΙΑ
18547	37.9485841	23.6595454	ΠΕΙΡΑΙΑΣ ΝΕΑ ΦΑΛΗΡΟ
18648	37.9499825	23.6239953	ΔΡΑΠΕΤΣΩΝΑ
18755	37.9548428	23.6185383	ΚΕΡΑΤΣΙΝΙ
18756	37.961153	23.6168866	ΚΕΡΑΤΣΙΝΙ ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ
18757	37.9701789	23.6214897	ΚΕΡΑΤΣΙΝΙ ΑΜΦΙΑΛΗ
18758	37.9678208	23.6170282	ΚΕΡΑΤΣΙΝΙ ΑΜΦΙΑΛΗ
18863	37.9656089	23.5677089	ΠΕΡΑΜΑ
18900	37.966284	23.4952437	ΣΑΛΑΜΙΝΑ
18901	37.9513322	23.5827368	ΣΑΛΑΜΙΝΑ
18902	37.954993	23.5277852	ΣΑΛΑΜΙΝΑ
18903	37.9040129	23.4418908	ΣΑΛΑΜΙΝΑ
19001	37.8071796	23.9763412	ΚΕΡΑΤΕΑ
19002	37.9553334	23.8522263	ΠΑΙΑΝΙΑ
19003	37.8833564	23.9333037	ΜΑΡΚΟΠΟΥΛΟ
19004	37.9646408	23.9070776	ΣΠΑΤΑ
19005	38.0719123	23.9776308	ΑΓΙΑ ΑΝΔΡΕΑ ΖΟΥΜΠΕΡΙ
19006	38.0125381	23.4233633	ΝΕΑ ΠΕΡΑΜΟΣ Μ.ΠΕΥΚΟ
19007	38.1532814	23.9619908	ΜΑΡΑΘΩΝΑΣ
19008	38.2174124	23.3221403	ΕΡΥΘΡΕΣ
19009	38.0497254	23.9786851	ΠΙΚΕΡΜΙ ΜΑΤΙ
19010	37.8405133	23.9284043	ΚΑΛΥΒΙΑ ΘΟΡΙΚΟΥ
19011	38.2388242	23.7964627	ΜΑΛΑΚΑΣΑ
19012	38.1550638	23.2248848	ΒΙΛΙΑ ΠΟΡΤΟ ΓΕΡΜΕΝΟ
19013	37.7186417	23.9172743	ΣΑΡΩΝΙΔΑ ΑΝΑΒΥΣΟΣ
19014	38.2520001	23.9454801	ΚΑΠΑΝΔΡΙΤΙ ΒΑΡΝΑΒΑΣ
19015	38.3560984	23.7933123	ΩΡΩΠΟΣ ΚΑΛΑΜΟΣ
19016	37.9613488	23.9952789	ΑΡΤΕΜΙΣ ΛΟΥΤΣΑ
19018	39.3840937	22.933412	ΜΑΓΟΥΛΑ
19100	37.9943201	23.3430496	ΜΕΓΑΡΑ
19200	39.3840937	22.933412	ΜΑΓΟΥΛΑ
19300	38.0609063	23.5910603	ΑΣΠΡΟΠΥΡΓΟΣ
19400	37.93511	23.8750935	ΚΟΡΩΠΙ KΑΡΕΛΛΑΣ
19500	37.714177	24.0576632	ΛΑΥΡΙΟ
19600	38.0750425	23.5008508	ΜΑΝΔΡΑ
