CUL	LONGITUDE	LATITUDE	NAME	Unnamed: 4
010596	26.097580	44.449480	Bucuresti	
010597	26.097580	44.449480	Bucuresti	
010598	26.097310	44.450220	Bucuresti	
010599	26.097310	44.450220	Bucuresti	
010601	26.097170	44.450530	Bucuresti	
010602	26.097170	44.450530	Bucuresti	
010603	26.093020	44.448280	Bucuresti	
010604	26.093020	44.448280	Bucuresti	
010605	26.093020	44.448280	Bucuresti	
010611	26.096000	44.450290	Bucuresti	
010612	26.096000	44.450290	Bucuresti	
010613	26.096000	44.450290	Bucuresti	
010614	26.093020	44.448280	Bucuresti	
010615	26.096000	44.450290	Bucuresti	
010616	26.096000	44.450290	Bucuresti	
010617	26.096000	44.450290	Bucuresti	
010621	26.094260	44.451620	Bucuresti	
010622	26.094260	44.451620	Bucuresti	
010623	26.094260	44.451620	Bucuresti	
010624	26.094260	44.451620	Bucuresti	
010625	26.094260	44.451620	Bucuresti	
010626	26.094260	44.451620	Bucuresti	
010627	26.094260	44.451620	Bucuresti	
010628	26.093020	44.448280	Bucuresti	
010629	26.093020	44.448280	Bucuresti	
010631	26.094730	44.449270	Bucuresti	
010632	26.094730	44.449270	Bucuresti	
010633	26.006720	44.474550	Bucuresti	
010634	26.093020	44.448280	Bucuresti	
010635	26.093020	44.448280	Bucuresti	
010636	26.093150	44.449320	Bucuresti	
010637	26.093150	44.449320	Bucuresti	
010638	26.094280	44.450660	Bucuresti	
010639	26.094280	44.450660	Bucuresti	
010641	26.092650	44.449980	Bucuresti	
010642	26.092650	44.449980	Bucuresti	
010643	26.092650	44.449980	Bucuresti	
010644	26.092650	44.449980	Bucuresti	
010645	26.092630	44.450870	Bucuresti	
010646	26.092630	44.450870	Bucuresti	
010647	26.093470	44.450990	Bucuresti	
010648	26.094720	44.452090	Bucuresti	
010651	26.094360	44.452130	Bucuresti	
010652	26.094360	44.452130	Bucuresti	
010653	26.090420	44.451140	Bucuresti	
010654	26.090420	44.451140	Bucuresti	
010661	26.093020	44.448280	Bucuresti	
010662	26.093020	44.448280	Bucuresti	
010663	26.093020	44.448280	Bucuresti	
010664	26.093020	44.448280	Bucuresti	
010665	26.093020	44.448280	Bucuresti	
010666	26.093110	44.448510	Bucuresti	
010667	26.092410	44.447630	Bucuresti	
010668	26.092410	44.447630	Bucuresti	
010669	26.088880	44.450800	Bucuresti	
010671	26.093020	44.448280	Bucuresti	
010672	26.093020	44.448280	Bucuresti	
010673	26.093020	44.448280	Bucuresti	
010701	26.080300	44.445400	Bucuresti	
010702	26.080300	44.445400	Bucuresti	
010703	26.080300	44.445400	Bucuresti	
010704	26.080300	44.445400	Bucuresti	
010705	26.080300	44.445400	Bucuresti	
010706	26.080300	44.445400	Bucuresti	
010707	26.080300	44.445400	Bucuresti	
010708	26.080300	44.445400	Bucuresti	
010709	26.080300	44.445400	Bucuresti	
010711	26.080300	44.445400	Bucuresti	
010712	26.080300	44.445400	Bucuresti	
010713	26.073940	44.459780	Bucuresti	
010714	26.060710	44.464610	Bucuresti	
010715	26.060710	44.464610	Bucuresti	
010716	26.060710	44.464610	Bucuresti	
010717	26.060710	44.464610	Bucuresti	
010718	26.060710	44.464610	Bucuresti	
010719	26.060710	44.464610	Bucuresti	
010721	26.060710	44.464610	Bucuresti	
010722	26.060710	44.464610	Bucuresti	
010723	26.060710	44.464610	Bucuresti	
010724	26.060710	44.464610	Bucuresti	
010725	26.056450	44.461250	Bucuresti	
010731	26.080300	44.445400	Bucuresti	
010732	26.080300	44.445400	Bucuresti	
010733	26.080300	44.445400	Bucuresti	
010734	26.080300	44.445400	Bucuresti	
010735	26.080300	44.445400	Bucuresti	
010736	26.080300	44.445400	Bucuresti	
010737	26.080300	44.445400	Bucuresti	
010738	26.080300	44.445400	Bucuresti	
010741	26.080300	44.445400	Bucuresti	
010742	26.080300	44.445400	Bucuresti	
